Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-10.170948	-0.108074	2.350528	0.002389	0.460903
-10.297646	-0.053109	2.360525	0.002412	0.460907
-10.412640	-0.006162	2.370522	0.002433	0.460902
-10.119653	-0.130555	2.380518	0.002378	0.460905
-10.674039	0.166208	2.390515	0.002481	0.461097
-10.219983	0.099090	2.400512	0.002397	0.461500
-10.052945	0.010403	2.410509	0.002365	0.461446
-9.983508	0.007711	2.420506	0.002352	0.461533
-9.815253	-0.130080	2.430502	0.002321	0.461326
-9.631121	-0.240497	2.440499	0.002286	0.461227
-9.884546	-0.134000	2.450496	0.002333	0.461223
-9.814645	-0.164693	2.460493	0.002320	0.461221
-10.080982	-0.018045	2.470490	0.002369	0.461327
-9.737694	-0.100057	2.480486	0.002305	0.461533
-10.003802	0.017113	2.490483	0.002355	0.461545
-9.712920	-0.016794	2.500480	0.002300	0.461833
-9.923138	0.104094	2.510477	0.002339	0.461932
-9.406346	-0.047127	2.520474	0.002243	0.462153
-9.518010	-0.037804	2.530470	0.002264	0.462034
-9.349297	-0.073502	2.540467	0.002232	0.462150
-9.329559	-0.106192	2.550464	0.002228	0.462075
-9.502353	-0.008573	2.560461	0.002260	0.462151
-9.476653	0.009405	2.570458	0.002255	0.462244
-9.124896	-0.117850	2.580454	0.002190	0.462318
-9.430557	0.038651	2.590451	0.002246	0.462402
-9.131743	-0.071806	2.600448	0.002190	0.462457
-9.199924	-0.041179	2.610445	0.002203	0.462463
-9.156018	0.033135	2.620442	0.002195	0.462759
-8.976303	-0.041387	2.630438	0.002161	0.462767
-8.732311	-0.144505	2.640435	0.002115	0.462772
-9.079111	0.003795	2.650432	0.002180	0.462774
-8.898966	-0.058839	2.660429	0.002146	0.462821
-9.075808	0.076117	2.670426	0.002179	0.463010
-8.888732	0.089947	2.680422	0.002144	0.463306
-8.672677	0.030308	2.690419	0.002103	0.463411
-8.627837	0.009063	2.700416	0.002095	0.463405
-8.616935	0.003398	2.710413	0.002093	0.463404
-8.290097	-0.144572	2.720410	0.002032	0.463379
-8.528560	-0.075438	2.730406	0.002076	0.463277
-8.325052	-0.127540	2.740403	0.002038	0.463388
-8.395580	-0.136503	2.750400	0.002051	0.463266
-8.452477	-0.067381	2.760397	0.002061	0.463409
-8.414134	-0.083199	2.770394	0.002054	0.463412
-8.199700	-0.173619	2.780390	0.002014	0.463417
-8.437453	-0.005498	2.790387	0.002058	0.463629
-8.077588	-0.132121	2.800384	0.001990	0.463715
-8.237050	-0.065543	2.810381	0.002020	0.463712
-7.914086	-0.203565	2.820378	0.001960	0.463713
-8.183627	-0.042728	2.830374	0.002010	0.463858
-7.837532	-0.139500	2.840371	0.001945	0.464020
-7.976736	-0.081449	2.850368	0.001971	0.464017
-7.796743	-0.159321	2.860365	0.001937	0.464016
-7.895612	-0.117411	2.870362	0.001955	0.464016
-7.705696	-0.168196	2.880358	0.001920	0.464113
-7.802627	-0.087760	2.890355	0.001938	0.464237
-7.646025	-0.128605	2.900352	0.001908	0.464320
-7.955702	0.041153	2.910349	0.001966	0.464440
-7.549450	-0.068372	2.920346	0.001890	0.464642
-7.734227	0.020994	2.930342	0.001924	0.464677
-7.333190	-0.066866	2.940339	0.001849	0.464940
-7.437806	-0.034369	2.950336	0.001869	0.464903
-7.144090	-0.157673	2.960333	0.001814	0.464911
-7.278730	-0.186949	2.970330	0.001839	0.464640
-7.139614	-0.216524	2.980326	0.001813	0.464735
-7.404985	-0.068858	2.990323	0.001862	0.464845
-7.357306	-0.033195	3.000320	0.001853	0.465022
-7.584256	0.159524	3.010317	0.001895	0.465324
-7.129433	0.038655	3.020314	0.001810	0.465556
-7.006521	-0.014560	3.030310	0.001787	0.465555
-6.974637	-0.026444	3.040307	0.001781	0.465562
-6.821100	-0.028686	3.050304	0.001752	0.465762
-6.599332	-0.189725	3.060301	0.001710	0.465555
-6.973007	-0.011817	3.070298	0.001780	0.465614
-6.430259	-0.243767	3.080294	0.001679	0.465615
-6.687738	-0.154432	3.090291	0.001726	0.465551
-6.781169	-0.114222	3.100288	0.001744	0.465554
-6.731771	-0.061573	3.110285	0.001734	0.465787
-6.657817	-0.062653	3.120282	0.001720	0.465884
-6.734973	0.041860	3.130278	0.001734	0.466109
-6.203725	-0.156792	3.140275	0.001635	0.466199
-6.565127	-0.014273	3.150272	0.001702	0.466164
-6.468326	-0.005233	3.160269	0.001684	0.466323
-6.403154	-0.006920	3.170266	0.001672	0.466406
-6.444382	0.041990	3.180262	0.001679	0.466505
-6.203642	-0.027689	3.190259	0.001634	0.466610
-6.115888	-0.001499	3.200256	0.001618	0.466811
-6.036022	-0.036710	3.210253	0.001603	0.466809
-5.899441	-0.101218	3.220250	0.001577	0.466791
-5.939854	-0.137485	3.230246	0.001585	0.466625
-5.984344	-0.106295	3.240243	0.001593	0.466665
-5.893009	-0.118770	3.250240	0.001575	0.466749
-5.799395	-0.141430	3.260237	0.001558	0.466804
-5.932019	-0.085023	3.270234	0.001582	0.466805
-5.997555	0.006313	3.280230	0.001594	0.467005
-5.825425	-0.028326	3.290227	0.001562	0.467128
-5.699802	-0.025471	3.300224	0.001538	0.467306
-5.872336	0.086963	3.310221	0.001570	0.467428
-5.478699	-0.042431	3.320218	0.001497	0.467550
-5.259158	-0.174009	3.330214	0.001456	0.467434
-5.159997	-0.223011	3.340211	0.001437	0.467414
-5.379595	-0.221125	3.350208	0.001478	0.467128
-5.408237	-0.123075	3.360205	0.001483	0.467398
-5.554518	-0.050458	3.370202	0.001510	0.467431
-5.564844	0.050102	3.380198	0.001512	0.467733
-5.164461	-0.093148	3.390195	0.001437	0.467821
-5.149615	-0.062809	3.400192	0.001434	0.467937
-5.043760	-0.072466	3.410189	0.001414	0.468049
-4.857217	-0.211892	3.420186	0.001379	0.467864
-5.090297	-0.138021	3.430182	0.001423	0.467785
-4.937527	-0.124560	3.440179	0.001394	0.468032
-4.886010	-0.141233	3.450176	0.001384	0.468050
-4.905284	-0.131828	3.460173	0.001388	0.468055
-4.708555	-0.217971	3.470170	0.001351	0.468050
-4.557367	-0.282769	3.480166	0.001323	0.468051
-4.657308	-0.240816	3.490163	0.001341	0.468050
-4.716461	-0.214662	3.500160	0.001352	0.468054
-4.702503	-0.221787	3.510157	0.001349	0.468052
-4.930148	-0.038205	3.520154	0.001391	0.468323
-4.736070	-0.008246	3.530150	0.001355	0.468676
-4.522623	-0.090192	3.540147	0.001315	0.468706
-4.374548	-0.108530	3.550144	0.001287	0.468847
-4.245299	-0.171160	3.560141	0.001263	0.468825
-4.316972	-0.145956	3.570138	0.001276	0.468810
-4.495408	-0.006008	3.580134	0.001309	0.469010
-4.355223	0.002213	3.590131	0.001283	0.469223
-4.514548	0.127830	3.600128	0.001312	0.469404
-4.068184	0.007949	3.610125	0.001229	0.469625
-3.710312	-0.201138	3.620122	0.001162	0.469451
-4.047404	-0.062945	3.630118	0.001225	0.469435
-3.680067	-0.230051	3.640115	0.001156	0.469404
-3.978572	-0.134463	3.650112	0.001212	0.469307
-4.081096	-0.014606	3.660109	0.001230	0.469545
-3.927681	-0.054016	3.670106	0.001202	0.469627
-3.729201	-0.072589	3.680102	0.001165	0.469834
-3.907039	0.031607	3.690099	0.001197	0.469924
-3.541195	-0.121166	3.700096	0.001129	0.469936
-3.703878	-0.052080	3.710093	0.001159	0.469936
-3.428729	-0.167706	3.720090	0.001108	0.469943
-3.459836	-0.157544	3.730086	0.001114	0.469935
-3.515982	-0.096954	3.740083	0.001124	0.470050
-3.591503	-0.003287	3.750080	0.001138	0.470242
-3.356292	-0.070315	3.760077	0.001094	0.470347
-3.375089	-0.023220	3.770074	0.001097	0.470470
-3.066816	-0.171953	3.780070	0.001039	0.470418
-3.068554	-0.227199	3.790067	0.001040	0.470246
-2.968474	-0.271168	3.800064	0.001021	0.470243
-3.256171	-0.148348	3.810061	0.001074	0.470245
-3.075480	-0.148436	3.820058	0.001040	0.470485
-3.312331	-0.024460	3.830054	0.001084	0.470558
-2.838821	-0.126773	3.840051	0.000996	0.470869
-3.252857	0.025401	3.850048	0.001073	0.470794
-2.806912	-0.091915	3.860045	0.000990	0.471022
-2.804015	-0.053016	3.870042	0.000989	0.471148
-2.578659	-0.206353	3.880038	0.000947	0.470972
-2.621028	-0.219614	3.890035	0.000954	0.470876
-2.548404	-0.251359	3.900032	0.000941	0.470875
-2.937721	-0.022692	3.910029	0.001013	0.471071
-2.373261	-0.226568	3.920026	0.000908	0.471187
-2.872393	0.016810	3.930022	0.001000	0.471282
-2.410544	-0.111973	3.940019	0.000914	0.471495
-2.609230	-0.025109	3.950016	0.000951	0.471503
-2.311034	-0.058827	3.960013	0.000895	0.471794
-2.314291	-0.056878	3.970010	0.000896	0.471797
-2.297265	-0.064876	3.980006	0.000892	0.471797
-2.275472	-0.047247	3.990003	0.000888	0.471881
-1.856182	-0.252495	4.000000	0.000810	0.471801
-2.083013	-0.156482	4.009997	0.000852	0.471800
-2.190657	-0.110275	4.019994	0.000872	0.471802
-2.020735	-0.123060	4.029990	0.000840	0.471989
-2.109492	-0.041995	4.039987	0.000856	0.472124
-2.151476	0.034318	4.049984	0.000864	0.472306
-1.688965	-0.123784	4.059981	0.000778	0.472429
-1.953775	-0.011723	4.069978	0.000827	0.472427
-1.492968	-0.209202	4.079974	0.000741	0.472426
-1.662145	-0.137435	4.089971	0.000772	0.472426
-1.566501	-0.179070	4.099968	0.000754	0.472425
-1.727983	-0.112585	4.109965	0.000784	0.472419
-1.646544	-0.088265	4.119962	0.000769	0.472603
-1.543382	-0.089310	4.129958	0.000749	0.472737
-1.401858	-0.149821	4.139955	0.000723	0.472738
